price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,receipt_quantity,product_name,product_brands,product_categories,product_nutriscore,product_image_url,store_name,store_city,store_country,store_lat,store_lon,created
172,3307130803004,4.0,False,,EUR,2023-11-27,,Ratatouille à la provençale,"Jardin Bio,Jardin biologique,Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:vegetable-based-foods-and-beverages', 'en:canned-foods', 'en:meals', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:canned-vegetables', 'en:prepared-vegetables', 'en:canned-meals', 'en:ratatouille']",a,https://images.openfoodfacts.org/images/products/330/713/080/3004/front_fr.141.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:52.875782Z
173,3307130803561,2.48,False,,EUR,2023-11-27,,Maïs doux,"Jardin bio, Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:canned-foods', 'en:cereals-and-potatoes', 'en:seeds', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:cereals-and-their-products', 'en:canned-vegetables', 'en:cereal-grains', 'en:corn', 'en:canned-cereals', 'en:sweet-corn', 'en:canned-corn', 'en:canned-sweet-corn']",c,https://images.openfoodfacts.org/images/products/330/713/080/3561/front_fr.53.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:54.070309Z
174,3307130803905,3.09,False,,EUR,2023-11-27,,Petits pois,"Jardin bio, Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:seeds', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:legume-seeds', 'en:vegetables', 'en:canned-vegetables', 'en:pulses', 'en:canned-legumes', 'en:green-peas', 'en:canned-peas', 'en:peas']",a,https://images.openfoodfacts.org/images/products/330/713/080/3905/front_fr.59.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:55.252592Z
175,3307131305170,3.59,False,,EUR,2023-11-27,,Léa Nature - Pomme Vanille bourbon,"Jardin bio, Léa Nature","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:desserts', 'en:fruits-based-foods', 'en:compotes', 'en:apple-compotes', 'fr:compotes-pommes-vanille']",a,https://images.openfoodfacts.org/images/products/330/713/130/5170/front_fr.81.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:56.427757Z
176,3315421334543,3.03,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:57.629462Z
177,3328400824345,5.74,False,,EUR,2023-11-27,,Pruneaux d’agen,"Coufidou, Pruno'délice","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:fruits-based-foods', 'en:dried-products', 'en:fruits', 'en:dried-plant-based-foods', 'en:dried-fruits', 'en:french-fruits', 'en:dried-prunes', 'fr:pruneaux-d-agen']",c,https://images.openfoodfacts.org/images/products/332/840/082/4345/front_fr.10.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:41:58.822630Z
178,3329480106048,3.05,False,,EUR,2023-11-27,,Vinaigre De Cidre,Kivinat,"['en:condiments', 'en:vinegars', 'en:cider-vinegars']",not-applicable,https://images.openfoodfacts.org/images/products/332/948/010/6048/front_fr.11.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:00.014759Z
179,3329480131019,1.13,False,,EUR,2023-11-27,,Epicerie / Epicerie Sucrée / Galettes Riz Et Céréales,Markal,[],unknown,https://images.openfoodfacts.org/images/products/332/948/013/1019/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:01.193704Z
180,3329480131026,1.28,False,,EUR,2023-11-27,,GALETTES MAIS SEL MARIN SANS GLUTEN,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:puffed-cereal-cakes', 'en:puffed-corn-cakes']",b,https://images.openfoodfacts.org/images/products/332/948/013/1026/front_fr.14.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:02.370174Z
181,3329480150010,3.96,False,,EUR,2023-11-27,,Moutarde Fine et Forte,"Kivinat,Kivina","['en:condiments', 'en:sauces', 'en:mustards', 'en:groceries']",e,https://images.openfoodfacts.org/images/products/332/948/015/0010/front_fr.19.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:03.540266Z
