off_code,off_name,off_brand,off_clean_name,usda_fdc_id,usda_name,usda_brand,usda_category,usda_ingredients,match_score,match_quality
28400091565,Lays Classic,Lays,Lays Classic,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",34.0,low
28400761918,Sweet potato popables,Lays,Sweet Potato Popables,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",42.0,low
28400679732,Baked Popped Mix,Lays,Baked Popped Mix,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",40.6,low
28400770088,Classic,Lays,Classic,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",18.2,low
9800895250,HAZELNUT SPREAD WITH COCOA,nutella,Hazelnut Spread with Cocoa,2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,Nut & Seed Butters,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",44.9,low
9800892204,Hazelnut spread with cocoa,Nutella,Hazelnut Spread with Cocoa,2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,Nut & Seed Butters,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",44.9,low
9800830039,biscuits,nutella,Nutella Biscuits,1759570,"SKIPPY, PEANUT BUTTER",Hormel Foods Corporation ,Nut & Seed Butters,"ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.",35.0,low
9800800056,Hazelnut Spread + Breadsticks,nutella,Hazelnut Spread with Breadsticks,2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,Nut & Seed Butters,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",45.7,low
3168930010265,cruesly mélange de noix,Quaker,Cruesly Mélange de Noix,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",42.1,low
3229820160672,Croustillant Chocolat,Bjorg,Croustillant Chocolat,2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,Soda,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",47.8,low
3229820019307,Flocons d'avoine,Bjorg,Oat Flakes,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",47.0,low
3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,"Muesli Raisin, Fig, Apricot",2019806,"BARILLA, PASTA, ROTINI",Barilla G & R F.Lli S.P.A.,Pasta by Shape & Type,WHOLE GRAIN DURUM WHEAT FLOUR.,37.9,low
3387390123210,NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic",Nestle Chocapic Cereal,2738631,Cheerios Cereal,GENERAL MILLS SALES INC.,Processed Cereal Products,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) Added to Preserve Freshness.Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients",54.6,medium
5053990161966,Pringles Texas BBQ,Pringles,Pringles Texas BBQ,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",40.4,low
3497917000136,Chips Paysanne,Brets,Chips Paysanne,2634359,"BARILLA, ORGANIC, PENNE PASTA",Barilla G & R F.Lli S.P.A.,Pasta by Shape & Type,"ORGANIC SEMOLINA (WHEAT), ORGANIC DURUM WHEAT FLOUR. VITAMINS/MINERALS: VITAMIN B3 (NIACIN), IRON (FERROUS SULFATE), VITAMIN B1 (THIAMINE MONONITRATE), VITAMIN B2 (RIBOFLAVIN), FOLIC ACID.",43.9,low
5053990161607,Pringles Paprika,Pringles,Pringles Paprika,2019806,"BARILLA, PASTA, ROTINI",Barilla G & R F.Lli S.P.A.,Pasta by Shape & Type,WHOLE GRAIN DURUM WHEAT FLOUR.,44.5,low
5410041143508,Gout Bacon,Tuc,Gout Bacon,2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,Soda,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",32.9,low
5053990127665,Pringles Hot & Spicy,Pringles,Pringles Hot and Spicy,2088784,"HEINZ, TOMATO KETCHUP, HOT & SPICY","Original Chili Co., Inc.","Ketchup, Mustard, BBQ & Cheese Sauce","HEINZ TOMATO KETCHUP (TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING), TABASCO BRAND PEPPER SAUCE (DIS",43.7,low
5449000054227,Cocacola original taste,Coca-Cola,Coca Cola Original,2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,Soda,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",69.7,medium
5449000214799,Coke Zero,Coca-Cola,Coke Zero,770088,OREO COOKIES,,Biscuits/Cookies,"Ingredients: WHEAT flour, sugar, vegetable oils (palm, palm kernel), fat reduced cocoa powder 4,6%, WHEAT starch, glucose-fructose syrup, raising agents (potassium hydrogen carbonate, ammonium hydroge",50.8,medium
