price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,product_name,product_brands,product_categories,product_nutriscore,store_name,store_city,store_country,created
89,3267110001212,5.71,False,,EUR,2023-11-27,Purée crue d'amande complète 200G,Perl amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters', 'en:whole-almond-purees']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:10.162775Z
90,3267110001281,3.42,False,,EUR,2023-11-27,Purée crue 100% Sésame Complet,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:spreads', 'en:cereals-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:cereal-butters', 'en:tahini']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:39:11.336377Z
91,3267110001298,7.65,False,,EUR,2023-11-27,Purée Crue Sesame Demi Complet,Perl'amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:spreads', 'en:cereals-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:cereal-butters', 'en:tahini']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:12.518900Z
92,3267110001304,12.49,False,,EUR,2023-11-27,Purée amande coco,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:mixed-nut-butters']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:39:13.696572Z
93,3267110001311,17.07,False,,EUR,2023-11-27,Crunchy amande complète,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters', 'en:whole-almond-purees', 'fr:amande-puree']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:14.873829Z
94,3267110001335,7.8,False,,EUR,2023-11-27,Puree d'amande orange camu camu,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:39:16.047853Z
95,3267110001373,4.62,False,,EUR,2023-11-27,Purée d'amande Framboise Thé vert,"Perl'Amande,Perlamande","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:spreads', 'en:nuts-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:nut-butters', 'en:almond-butters']",a,L'Éléfàn,Grenoble,France,2023-11-27T11:39:17.280752Z
96,3267110001588,8.07,False,,EUR,2023-11-27,Purée de sésame demi-complet,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:spreads', 'en:cereals-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:cereal-butters', 'en:tahini', 'fr:purees-de-sesame-demi-complet']",c,L'Éléfàn,Grenoble,France,2023-11-27T11:39:18.521414Z
97,3267110001663,8.82,False,,EUR,2023-11-27,Purée crue 100% sésame Tahin,Perl'Amande,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:spreads', 'en:cereals-and-their-products', 'en:plant-based-spreads', 'en:oilseed-purees', 'en:cereal-butters', 'en:tahini']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:19.699317Z
98,3267110002134,6.74,False,,EUR,2023-11-27,Epicerie / Epicerie Sucrée / Pâtes D'amandes Bio,Perl'Amande,[],unknown,L'Éléfàn,Grenoble,France,2023-11-27T11:39:20.913552Z
99,3267110002363,4.13,False,,EUR,2023-11-27,Pâtes D'amandes Complète Bio,Perlamande,"['en:snacks', 'en:sweet-snacks', 'en:confectioneries', 'en:marzipan', 'en:almond-paste']",d,L'Éléfàn,Grenoble,France,2023-11-27T11:39:22.100482Z
100,3267110008242,3.73,False,,EUR,2023-11-27,Lait d’amande chocolat,AMANDINA,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:nut-based-drinks', 'en:almond-based-drinks', 'en:chocolate-almond-based-drinks']",e,L'Éléfàn,Grenoble,France,2023-11-27T11:39:23.273416Z
101,3267110008266,3.88,False,,EUR,2023-11-27,Noisett'ina,Perlamande,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:nut-based-drinks', 'en:hazelnut-based-drinks']",e,L'Éléfàn,Grenoble,France,2023-11-27T11:40:18.601345Z
