code,product_name,brands,categories,ingredients_text,quantity,nutrition_grades,nutriscore_score,nova_group,ecoscore_grade,completeness,allergens,labels,image_url,stores,countries,last_modified_t,source
30000436073,"Simply Granola Oats, Honey, Raisins & Almonds",Quaker,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis","Whole grain oats, whole grain wheat, sugar, raisins, vegetable oil (canola and/or soybean oil), whey, inulin, almonds, nonfat dry milk, glycerin, molasses, whey protein concentrate, honey, natural flavor, sunflower oil, tocopherols (to preserve freshness)",1.95 kg,c,7.0,4.0,c,0.8,"en:gluten,en:milk,en:nuts","No artificial flavors,With Sunflower oil",https://images.openfoodfacts.org/images/products/003/000/043/6073/front_en.92.400.jpg,,United States,1774541703,off
30000169476,Chocolate Rice Cakes,Quaker,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes","Whole grain brown rice, sugar, fructose, milk chocolate chips (sugar, chocolate liquor, dry whole milk, cocoa butter, soy lecithin, vanilla extract), corn maltodextrin, cocoa, natural flavor, vegetable oil (canola and/or sunflower oil), salt, soy lecithin, tocopherols (to preserve freshness)",205 g,d,11.0,4.0,a,0.7875,"en:milk,en:soybeans","No gluten,No artificial flavors",https://images.openfoodfacts.org/images/products/003/000/016/9476/front_en.235.400.jpg,,United States,1775087492,off
30000169001,Apple Cinnamon Rice Cakes,Quaker,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","whole grain brown rice, sugar, fructose, maltodextrin, natural flavor, cinnamon, soy lecithin,","185 g (6,53 Oz)",c,9.0,4.0,b,0.6875,en:soybeans,"No gluten,Contains soy",https://images.openfoodfacts.org/images/products/003/000/016/9001/front_en.151.400.jpg,,United States,1774822169,off
30000169100,CARAMEL RICE CAKES,QUAKER,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","whole grain brown rice, degerminated milled corn, sugar, fructose, maltodextrin, natural flavor, salt, soy lecithin. contains soy ingredients.",6.5 oz,d,12.0,4.0,b,0.6875,en:soybeans,No artificial flavors,https://images.openfoodfacts.org/images/products/003/000/016/9100/front_en.120.400.jpg,,United States,1775172377,off
1201303,Pepsi,Pepsi,"Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonatadas,Sodas,Bebidas no alcohólicas,Bebidas de cola,Cola con azúcar,Bebidas con sabor,Bebidas azucaradas","CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR.",12 fl oz (355 ml),e,13.0,4.0,not-applicable,1.0,,Contiene OMG,https://images.openfoodfacts.org/images/products/000/000/120/1303/front_en.68.400.jpg,Hipermaxi,"Bolivia,Estados Unidos",1768624569,off
1212901,Pepsi,Pepsi,"Beverages, Carbonated drinks, Sodas, Colas, Sweetened beverages","carbonated water, high fructose corn syrup, caramel color, sugar, % phosphoric acid, caffeine, citric acid, natural flavor,",20oz,e,13.0,4.0,not-applicable,0.6875,,,https://images.openfoodfacts.org/images/products/000/000/121/2901/front_en.72.400.jpg,,États-Unis,1773336034,off
1280504,Diet Pepsi,Pepsi,"Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Colas,Diet sodas,Diet cola soft drink","CARBONATED WATER, CARAMEL COLOR, ASPARTAME PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, CITRIC ACID, NATURAL FLAVOR ACESULFAME POTASSIUM. PHENYLKETONURICS: CONTAINS PHENYLALANINE BOTTLED UNDER THE AUTHORITY OF PEPSICO, INC., 00277-101-00-16 PURCHASE, NY 10577. LUORIES CAFFEINE CONTENT: 35mg/12 fl oz. www.PEPSLCOM",12oz,c,4.0,4.0,not-applicable,0.675,,,https://images.openfoodfacts.org/images/products/000/000/128/0504/front_en.53.400.jpg,,"France,United States",1772553773,off
12000171741,Diet Pepsi,Pepsi,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, en:diet-cola-soft-drink","Carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate, caffeine, citric acid, natural flavor, acesulfame potassium",20 fl oz,c,4.0,4.0,not-applicable,0.7875,,,https://images.openfoodfacts.org/images/products/001/200/017/1741/front_en.25.400.jpg,,"Espagne,États-Unis",1773336096,off
6111252421582,اكوافينا,pepsi,"Eaux,Eaux de table",Aqua,"1,5l",b,0.0,1.0,not-applicable,0.6625,,,https://images.openfoodfacts.org/images/products/611/125/242/1582/front_ar.34.400.jpg,,"Morocco, en:united-states",1771266364,off
3400704,Ice Breakers Cool Mint,Hershey,"Snacks, Sweet snacks, Confectioneries, Candies","sorbitol, maltitol, maltodextrin, contains 2% or less of natural flavor and artificial flavor gun acacia aspartame, magnesium stearate",42 gr,a,0.0,4.0,b,0.6875,,Contains GMOs,https://images.openfoodfacts.org/images/products/000/000/340/0704/front_en.43.400.jpg,,"France, en:united-states",1774799441,off
10700021526,Milk Duds,Hershey,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Candies, en:chocolates","corn syrup, sugar, vegetable oil [palm oil, shea oil, sunflower oil, palm kernel oil, and/or safflower oil], dextrose, nonfat milk, reduced protein whey (milk), chocolate, contains 2% or less of: brown sugar, mono - and diglycerides, whey (milk), baking soda, confectioner's glaze, salt, tapioca dextrin, lecithin (soy), vanillin, artificial flavor.",5 OZ (141 g),e,32.0,4.0,b,0.7875,"en:milk,en:soybeans","Kosher, Orthodox Union Kosher",https://images.openfoodfacts.org/images/products/001/070/002/1526/front_en.20.400.jpg,,"Vereinigte Staaten von Amerika, en:de",1774983425,off
34000944552,Plant based oat chocolate confection,Hershey,,"Sugar, Cocoa Butter, Chocolate, Almonds, Oat Flour, Rice Flour, Lecithin (Soy), Sunflower Oil, Sea Salt, Natural Flavor",,unknown,,4.0,unknown,0.475,en:soybeans,,https://images.openfoodfacts.org/images/products/003/400/094/4552/front_en.5.400.jpg,,us,1765078033,off
810031480364,Hershey’s S’mores Popcorn,Hershey,,,,unknown,,,unknown,0.375,,,https://images.openfoodfacts.org/images/products/081/003/148/0364/front_en.13.400.jpg,,en:United States,1757294691,off
3403109,Mounds Dark Chocolate,Hershey,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies","Corn syrup; semi-sweet chocolate [chocolate; sugar; milk fat; lecithin (soy); pgpr; vanillin, artificial flavor; milk]; coconut; sugar; contains 2% or less of: salt; hydrolyzed milk protein; sodium metabisulfite, to maintain freshness.",1.75oz,e,27.0,4.0,unknown,0.6875,"en:milk,en:soybeans",,https://images.openfoodfacts.org/images/products/000/000/340/3109/front_en.23.400.jpg,,United States,1761089312,off
77567254238,Natural Vanilla Ice Cream,"Breyers,Unilever","Desserts,Frozen foods,Frozen desserts","milk, cream, sugar, vegetable gum (tara), natural flavor,",,d,14.0,4.0,unknown,0.575,en:milk,,https://images.openfoodfacts.org/images/products/007/756/725/4238/front_en.8.400.jpg,,United States,1750796200,off
